run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data,irrigation_data,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2017_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
2,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2018_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
3,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2019_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
4,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2020_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
5,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2021_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
6,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2022_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
7,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,SAX_CType2_2023_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
8,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2017_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
9,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2018_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
10,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2019_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
11,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2020_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
12,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2021_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
13,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2022_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
14,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,SAX_CType3_2023_100_25832_etrs89-utm32n.asc,SAXirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
15,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2017_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
16,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2018_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
17,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2019_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
18,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2020_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
19,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2021_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
20,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2022_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
21,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,HE_CType2_2023_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
22,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2017_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
23,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2018_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
24,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2019_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
25,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2020_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
26,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2021_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
27,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2022_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
28,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,,,historic_runs,,HE_CType3_2023_100_25832_etrs89-utm32n.asc,HEirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
29,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2017_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
30,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2018_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
31,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2019_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
32,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2020_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
33,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2021_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
34,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2022_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
35,True,fixed,auto,SM_sfix_hauto,sim_avgyield.json,crop2.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,,historic_runs,,BAV_CType2_2023_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
36,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,1.0,,historic_runs,,BAV_CType3_2017_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
37,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,1.0,,historic_runs,,BAV_CType3_2018_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
38,True,fixed,auto,WW_sfix_hauto,sim_avgyield.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,1.0,,historic_runs,,BAV_CType3_2019_100_25832_etrs89-utm32n.asc,BAVirrigation_100_25832_etrs89-utms32n_cereals.asc,,,,,
